URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,,
152,https://insights.blackcoffer.com/what-analytics-outsourcing-engagement-model-is-right-for-you/,22,3,0.75999997,0.055928412,14,0.456375839,5.782550336,14,204,447,1723,0,5.634763476,,
153,https://insights.blackcoffer.com/big-data-analytics-solving-problems-banking-and-finance-industry/,14,12,0.076923074,0.065162907,11,0.456140351,4.58245614,11,182,399,1664,2,5.209677419,,
154,https://insights.blackcoffer.com/analytics-healthcare-industry/,18,29,-0.234042548,0.081881533,15,0.491289199,6.196515679,15,282,574,2201,1,5.70044843,,
155,https://insights.blackcoffer.com/business-analytics-textile-industry/,17,3,0.699999965,0.035523979,38,0.511545293,15.40461812,38,288,563,2266,2,5.73396065,,
156,https://insights.blackcoffer.com/big-data-marketing-reality/,15,7,0.363636347,0.051162791,13,0.41627907,5.366511628,13,179,430,1715,0,5.27444795,,
157,https://insights.blackcoffer.com/understanding-millennial-market/,4,5,-0.111111099,0.034883721,18,0.445736434,7.378294574,18,115,258,1089,2,5.473588342,,
158,https://insights.blackcoffer.com/analytics-helping-fashion-e-tailers-develop-markets-developing-countries/,10,3,0.538461497,0.038461538,11,0.449704142,4.579881657,11,152,338,1268,1,5.254360465,,
159,https://insights.blackcoffer.com/big-data-analytics-change-healthcare-developing-countries/,22,8,0.466666651,0.077120822,19,0.488431877,7.795372751,19,190,389,1473,0,5.685983827,,
160,https://insights.blackcoffer.com/big-data-analytics-help-voters-know-political-leaders/,8,7,0.066666662,0.048076923,14,0.471153846,5.788461538,14,147,312,1317,0,4.900393185,,
161,https://insights.blackcoffer.com/digital-transformation-oil-gas/,10,18,-0.285714276,0.061810154,16,0.518763797,6.607505519,16,235,453,1720,2,5.541993281,,
162,https://insights.blackcoffer.com/data-analytics-reduce-cost-production/,16,9,0.279999989,0.067567567,23,0.418918919,9.367567568,23,155,370,1369,0,5.130039012,,
163,https://insights.blackcoffer.com/gaining-insights-internal-data-retail/,16,5,0.523809499,0.066878981,17,0.474522293,6.989808917,17,149,314,1125,0,5.822695035,,
164,https://insights.blackcoffer.com/role-big-data-cyber-security/,8,25,-0.5151515,0.085051546,32,0.494845361,12.99793814,32,192,388,1441,0,6.017216643,,
165,https://insights.blackcoffer.com/role-big-data-healthcare/,26,48,-0.297297293,0.117647059,16,0.503974563,6.601589825,16,317,629,2339,0,5.871704745,,
166,https://insights.blackcoffer.com/data-driven-dashboards/,4,2,0.333333278,0.016806723,13,0.535014006,5.414005602,13,191,357,1595,0,5.539325843,,
167,https://insights.blackcoffer.com/role-big-data-academia/,15,37,-0.423076915,0.079754601,14,0.446319018,5.778527607,14,291,652,2740,14,5.300613497,,
168,https://insights.blackcoffer.com/sales-forecasting-in-retail/,18,15,0.090909088,0.06875,17,0.477083333,6.990833333,17,229,480,1745,0,5.722587719,,
169,https://insights.blackcoffer.com/detect-data-exfiltration-over-the-network/,4,47,-0.843137238,0.098076923,12,0.446153846,4.978461538,12,232,520,1829,6,5.68824164,,
170,https://insights.blackcoffer.com/data-exfiltration/,4,8,-0.333333306,0.058536585,10,0.487804878,4.195121951,10,100,205,900,11,5.118609407,,
171,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,1,9,-0.79999992,0.028735632,17,0.413793103,6.965517241,17,144,348,1343,1,5.29105474,,
